Problem,Method,Benchmark,Instance,n,m,LB,UB,Gap,ActualTime,BKS,RPD
Tardinessflowshop,CPLEX_CP,Eva,281,250,50,2109,755212,0.997207407,3601.436,462389,38.77361589
Tardinessflowshop,CPLEX_CP,Eva,282,250,50,1879,689334,0.997274181,3601.275,432914,37.19822321
Tardinessflowshop,CPLEX_CP,Eva,283,250,50,2099,703871,0.997017919,3601.222,455156,35.33531002
Tardinessflowshop,CPLEX_CP,Eva,284,250,50,2135,610689,0.996503949,3601.246,361164,40.85958647
Tardinessflowshop,CPLEX_CP,Eva,285,250,50,2230,673143,0.996687182,3601.692,421753,37.34570515
Tardinessflowshop,CPLEX_CP,Eva,286,350,10,2127,139649,0.984768956,3600.461,66779,52.18082478
Tardinessflowshop,CPLEX_CP,Eva,287,350,10,2036,205013,0.990068922,3600.422,126005,38.53804393
Tardinessflowshop,CPLEX_CP,Eva,288,350,10,2140,174939,0.987767165,3600.39,110698,36.72194308
Tardinessflowshop,CPLEX_CP,Eva,289,350,10,2048,153394,0.986648761,3600.493,87673,42.84457019
Tardinessflowshop,CPLEX_CP,Eva,290,350,10,2303,100210,0.977018262,3600.375,72696,27.45634168
Tardinessflowshop,CPLEX_CP,Eva,291,350,30,2517,579193,0.995654298,3601.002,246206,57.49154427
Tardinessflowshop,CPLEX_CP,Eva,292,350,30,2302,588236,0.996086605,3601.072,270295,54.04990514
Tardinessflowshop,CPLEX_CP,Eva,293,350,30,2499,609110,0.995897293,3601.039,285479,53.13178244
Tardinessflowshop,CPLEX_CP,Eva,294,350,30,2451,743364,0.996702827,3600.983,384134,48.32491216
Tardinessflowshop,CPLEX_CP,Eva,295,350,30,2449,596225,0.99589249,3601.227,318038,46.65805694
Tardinessflowshop,CPLEX_CP,Eva,296,350,50,2607,1057930,0.997535754,3601.888,595974,43.66602705
Tardinessflowshop,CPLEX_CP,Eva,297,350,50,2548,1016040,0.997492225,3601.324,576541,43.2560726
Tardinessflowshop,CPLEX_CP,Eva,298,350,50,2542,988078,0.997427329,3601.769,613491,37.91067102
Tardinessflowshop,CPLEX_CP,Eva,299,350,50,2371,1060040,0.997763292,3601.981,597098,43.67212558
Tardinessflowshop,CPLEX_CP,Eva,300,350,50,2771,1119690,0.997525208,3601.933,609984,45.52206414
Tardinessflowshop,CPLEX_CP,Eva,301,50,10,1118,10424,0.892747506,3600.223,8475,18.69723715
Tardinessflowshop,CPLEX_CP,Eva,302,50,10,1040,9254,0.887616166,3600.727,8101,12.45947698
Tardinessflowshop,CPLEX_CP,Eva,303,50,10,472,2421,0.80503924,3600.578,2397,0.991325898
Tardinessflowshop,CPLEX_CP,Eva,304,50,10,438,8020,0.945386534,3600.665,6891,14.07730673
Tardinessflowshop,CPLEX_CP,Eva,305,50,10,1600,22221,0.92799604,3600.121,19373,12.81670492
Tardinessflowshop,CPLEX_CP,Eva,306,50,30,13538,61227,0.778888399,3600.237,56259,8.114067323
Tardinessflowshop,CPLEX_CP,Eva,307,50,30,10684,58341,0.816869783,3600.211,52623,9.800997583
Tardinessflowshop,CPLEX_CP,Eva,308,50,30,9278,49950,0.814254254,3600.24,44105,11.7017017
Tardinessflowshop,CPLEX_CP,Eva,309,50,30,10058,50803,0.802019566,3600.289,47376,6.745664626
Tardinessflowshop,CPLEX_CP,Eva,310,50,30,7654,45768,0.832765251,3600.238,40041,12.5131096
Tardinessflowshop,CPLEX_CP,Eva,311,50,50,23731,78327,0.697026568,3600.39,71900,8.205344262
Tardinessflowshop,CPLEX_CP,Eva,312,50,50,30717,87879,0.650462568,3600.325,79911,9.067012597
Tardinessflowshop,CPLEX_CP,Eva,313,50,50,26209,90247,0.709585914,3600.348,80484,10.81808814
Tardinessflowshop,CPLEX_CP,Eva,314,50,50,16154,73473,0.780136921,3600.322,66155,9.960121405
Tardinessflowshop,CPLEX_CP,Eva,315,50,50,32437,96486,0.663816512,3600.313,88481,8.296540431
Tardinessflowshop,CPLEX_CP,Eva,316,150,10,0,9131,1,3600.262,2418,73.51878217
Tardinessflowshop,CPLEX_CP,Eva,317,150,10,283,18337,0.984566723,3600.265,10056,45.1600589
Tardinessflowshop,CPLEX_CP,Eva,318,150,10,416,33553,0.987601705,3600.272,21121,37.05182845
Tardinessflowshop,CPLEX_CP,Eva,319,150,10,0,0,0,84.775,0,0
Tardinessflowshop,CPLEX_CP,Eva,320,150,10,284,24716,0.988509468,3600.249,12213,50.58666451
